design_group_id,nct_id,group_type,title,description
332209446,NCT02378870,EXPERIMENTAL,A:Osteodex,3.0 mg/kg bodyweight solution for infusion
332209447,NCT02378870,PLACEBO_COMPARATOR,B: Placebo,NaCl 0.9% solution for infusion
332210126,NCT01395342,NO_INTERVENTION,blood pressure and heart rate data,
332210194,NCT01855321,ACTIVE_COMPARATOR,Vitamin D,"the cholecalciferol capsule with respect to size and shape and 2) the intervention group will take 1 oral capsule of cholecalciferol 50,000 IU (Bio-Tech Pharmacal, Fayetteville, AR USA) once weekly for 8 weeks followed by 50,000 IU once monthly for 4 months."
332210195,NCT01855321,PLACEBO_COMPARATOR,Placebo,"The placebo capsule is to be identical to the cholecalciferol capsule with respect to size and shape and 2) the intervention group will take 1 oral capsule of cholecalciferol 50,000 IU (Bio-Tech Pharmacal, Fayetteville, AR USA) once weekly for 8 weeks followed by 50,000 IU once monthly for 4 months."
332210205,NCT04931147,EXPERIMENTAL,Part A SAD - Cohort 1,This is the first treatment arm in Part A (Single Ascending Dose) of the study. 4 participants will be randomised to receive 2 mg of RXC007 on one occasion on Day 1. The remaining 2 participants will receive matching placebo.
332210206,NCT04931147,EXPERIMENTAL,Part A SAD - Cohort 2,This is the second treatment arm in Part A (Single Ascending Dose) of the study. 4 participants will be randomised to receive a selected dose of RXC007 (following Cohort 1 Dose Escalation Data Review) on one occasion on Day 1. The remaining 2 participants will receive matching placebo.
332210207,NCT04931147,EXPERIMENTAL,Part A SAD - Cohort 3,This is the third treatment arm in Part A (Single Ascending Dose) of the study. 4 participants will be randomised to receive a selected dose of RXC007 (following Dose Escalation Data Review of previous cohorts data) on one occasion on Day 1. The remaining 2 participants will receive matching placebo.
332210208,NCT04931147,EXPERIMENTAL,Part A SAD - Cohort 4,This is the fourth treatment arm in Part A (Single Ascending Dose) of the study. 4 participants will be randomised to receive a selected dose of RXC007 (following Dose Escalation Data Review of previous cohorts data) on one occasion on Day 1. The remaining 2 participants will receive matching placebo.
332210209,NCT04931147,EXPERIMENTAL,Part A SAD - Cohort 5,This is the fifth treatment arm in Part A (Single Ascending Dose) of the study. 4 participants will be randomised to receive a selected dose of RXC007 (following Dose Escalation Data Review of previous cohorts data) on one occasion on Day 1. The remaining 2 participants will receive matching placebo.
332210210,NCT04931147,EXPERIMENTAL,Part A SAD - Cohort 6,This is the sixth treatment arm in Part A (Single Ascending Dose) of the study. 4 participants will be randomised to receive a selected dose of RXC007 (following Dose Escalation Data Review of previous cohorts data) on one occasion on Day 1. The remaining 2 participants will receive matching placebo.
332210211,NCT04931147,EXPERIMENTAL,Part A SAD - Optional Cohort 7,"This is an optional seventh treatment arm in Part A (Single Ascending Dose) of the study. If deemed as necessary following Dose Escalation Data Review of previous cohorts data, up to 8 participants may be enrolled into this optional cohort. If enrolled, up to 6 participants will be randomised to receive a selected dose of RXC007 (following Dose Escalation Data Review of previous cohorts data) on one occasion on Day 1. The remaining 2 participants will receive matching placebo."
332210212,NCT04931147,EXPERIMENTAL,Part A SAD - Optional Cohort 8,"This is an optional eighth treatment arm in Part A (Single Ascending Dose) of the study. If deemed as necessary following Dose Escalation Data Review of previous cohorts data, up to 8 participants may be enrolled into this optional cohort. If enrolled, up to 6 participants will be randomised to receive a selected dose of RXC007 (following Dose Escalation Data Review of previous cohorts data) on one occasion on Day 1. The remaining 2 participants will receive matching placebo."
332210213,NCT04931147,EXPERIMENTAL,Part B MAD - Cohort 1,This is the first treatment arm in Part B (Multiple Ascending Dose) of the study. 4 participants will be randomised to receive a selected dose of RXC007 (following Dose Escalation Data Review of SAD cohort data) once daily for 14 days. The remaining 2 participants will receive matching placebo.
332210214,NCT04931147,EXPERIMENTAL,Part B MAD - Cohort 2,This is the second treatment arm in Part B (Multiple Ascending Dose) of the study. 4 participants will be randomised to receive a selected dose of RXC007 (following Dose Escalation Data Review of SAD and previous MAD cohort data) once daily for 14 days. The remaining 2 participants will receive matching placebo.
332210215,NCT04931147,EXPERIMENTAL,Part B MAD - Optional Cohort 3,"This is an optional third treatment arm in Part B (Multiple Ascending Dose) of the study. If deemed as necessary following Dose Escalation Data Review of previous cohorts data, up to 8 participants may be enrolled into this optional cohort. If enrolled, up to 6 participants will be randomised to receive a selected dose of RXC007 (following Dose Escalation Data Review of previous cohorts data) once daily for 14 days. The remaining 2 participants will receive matching placebo."
332210216,NCT04931147,EXPERIMENTAL,Part B MAD - Optional Cohort 4,"This is an optional fourth treatment arm in Part B (Multiple Ascending Dose) of the study. If deemed as necessary following Dose Escalation Data Review of previous cohorts data, up to 8 participants may be enrolled into this optional cohort. If enrolled, up to 6 participants will be randomised to receive a selected dose of RXC007 (following Dose Escalation Data Review of previous cohorts data) once daily for 14 days. The remaining 2 participants will receive matching placebo."
332210217,NCT04931147,EXPERIMENTAL,Part A SAD - Optional Cohort 9,"This is an optional ninth treatment arm in Part A (Single Ascending Dose) of the study. If deemed as necessary following Dose Escalation Data Review of previous cohorts data, up to 8 participants may be enrolled into this optional cohort. If enrolled, up to 6 participants will be randomised to receive a selected dose of RXC007 (following Dose Escalation Data Review of previous cohorts data) on one occasion on Day 1. The remaining 2 participants will receive matching placebo."
332210218,NCT04931147,EXPERIMENTAL,Part A SAD - Optional Cohort 10,"This is an optional tenth treatment arm in Part A (Single Ascending Dose) of the study. If deemed as necessary following Dose Escalation Data Review of previous cohorts data, up to 8 participants may be enrolled into this optional cohort. If enrolled, up to 6 participants will be randomised to receive a selected dose of RXC007 (following Dose Escalation Data Review of previous cohorts data) on one occasion on Day 1. The remaining 2 participants will receive matching placebo."
332210219,NCT04931147,EXPERIMENTAL,Part B MAD - Optional Cohort 5,"This is an optional fifth treatment arm in Part B (Multiple Ascending Dose) of the study. If deemed as necessary following Dose Escalation Data Review of previous cohorts data, up to 8 participants may be enrolled into this optional cohort. If enrolled, up to 6 participants will be randomised to receive a selected dose of RXC007 (following Dose Escalation Data Review of previous cohorts data) once daily for 14 days. The remaining 2 participants will receive matching placebo."
332210220,NCT04931147,EXPERIMENTAL,Part B MAD - Optional Cohort 6,"This is an optional sixth treatment arm in Part B (Multiple Ascending Dose) of the study. If deemed as necessary following Dose Escalation Data Review of previous cohorts data, up to 8 participants may be enrolled into this optional cohort. If enrolled, up to 6 participants will be randomised to receive a selected dose of RXC007 (following Dose Escalation Data Review of previous cohorts data) once daily for 14 days. The remaining 2 participants will receive matching placebo."
332210221,NCT04931147,EXPERIMENTAL,Part C DDI - Cohort 1 Rosuvastatin,"This is the first treatment arm in Part C (Drug-Drug Interaction) of the study. All participants within the cohort (12 participants) will to receive a selected dose of RXC007 (following Dose Escalation Data Review from Part A and Part B) and 10 mg rosuvastatin as follows: single dose of rosuvastatin (10 milligrams) on Day 1 followed by three single doses of RXC007 on Day 6, Day 7 \& Day 8 before taking a single dose of both RXC007 and rosuvastatin together on Day 9."
332210222,NCT04931147,EXPERIMENTAL,Part C DDI - Cohort 2 Metformin,"This is the second treatment arm in Part C (Drug-Drug Interaction) of the study. All participants within the cohort (12 participants) will to receive a selected dose of RXC007 (following Dose Escalation Data Review from Part A and Part B) and 500 mg metformin as follows: single dose of metformin (500 milligrams) on Day 1 followed by three single doses of RXC007 on Day 4, Day 5 \& Day 6 before taking a single dose of both RXC007 and metformin together on Day 7."
332210248,NCT05205109,EXPERIMENTAL,"ATG-037+Keytruda(Pembrolizumab, MK-3475)","Part I: Dose Escalation Phase of ATG-037 Monotherapy PartII: Dose Escalation Phase and Dose Expansion Phase of ATG-037 in Upfront Combination with Keytruda(Pembrolizumab, MK-3475)"
332210256,NCT05772546,EXPERIMENTAL,Group A - Avatromopag,"30 participants will be randomized into a 1:1 fashion and will be stratified based on the number of cytotoxic agents in the patient's chemotherapy regimen. Participants will complete study procedures as outlined:~Lead-In Period (Day 1 - 15)~* Pre-determined dose of Avatrombopag 1x daily.~* Participants failing to achieve a platelet count ≥100,000/µL within 2 weeks will be considered a treatment failure (and will proceed to the end-of-study visit).~On-Cycle Period (Day 15 - up to Week 6)~• Pre-determined dose of Avatrombopag 1x daily.~Follow-up Period~* End of Treatment on-site visit.~* Follow-up visit 30-42 days after End of Treatment visit."
332210257,NCT05772546,ACTIVE_COMPARATOR,Group B - Matching Placebo,"30 participants will be randomized into a 1:1 fashion and will be stratified based on the number of cytotoxic agents in the patient's chemotherapy regimen. Participants will complete study procedures as outlined:~Lead-In Period (Day 1 - 15)~* Pre-determined dose of matching placebo 1x daily.~* Participants failing to achieve a platelet count ≥100,000/µL within 2 weeks will be considered a treatment failure (and will proceed to the end-of-study visit).~On-Cycle Period (Day 15 - up to Week 6)~• Pre-determined dose of matching placebo 1x daily.~Follow-up Period~* End of Treatment on-site visit.~* Follow-up visit 30-42 days after End of Treatment visit."
332210260,NCT04957914,ACTIVE_COMPARATOR,Insulin Glargine (Period 1),Insulin glargine administered subcutaneously (SC).
332210261,NCT04957914,EXPERIMENTAL,LY3209590 (Period 2),LY3209590 administered SC.
332210282,NCT03891732,Other,MRI pathway,"Plain biparametric MRI prostate applied to men with elevated PSA, on top of standard screening pathway using PSA and Prostate Health Index"
332210283,NCT03891732,Other,Standard screening pathway,Intervention: Using blood tests PSA and Prostate Health Index to screen men at risk of prostate cancer
332210294,NCT05916378,Other,Patients and Caregivers,We will survey 100 patients and 50 caregivers.
332210311,NCT05727267,EXPERIMENTAL,Arm A0,HEPLISAV B® and MVA-HBVac high dose
332210312,NCT05727267,EXPERIMENTAL,Arm B0.1,HEPLISAV B® \& HBcoreAg low dose and MVA-HBVac low dose
332210313,NCT05727267,EXPERIMENTAL,Arm B0.2,2 x HEPLISAV B® \& HBcoreAg medium and MVA-HBVac high dose
332210314,NCT05727267,EXPERIMENTAL,Arm C0.1,HBsAg high dose \& HBcoreAg high dose and MVA-HBVac high dose
332210315,NCT05727267,EXPERIMENTAL,Arm C0.2,HBsAg medium dose + adjuvant low dose \& HBcoreAg medium dose and MVA-HBVac high dose
332210316,NCT05727267,EXPERIMENTAL,Arm C0.3,HBsAg high dose + adjuvant \& HBcoreAg high dose and MVA-HBVac high dose
332210317,NCT01169259,ACTIVE_COMPARATOR,Vitamin D + fish oil,
332210318,NCT01169259,ACTIVE_COMPARATOR,Vitamin D + fish oil placebo,
332210319,NCT01169259,ACTIVE_COMPARATOR,Vitamin D placebo + fish oil,
332210320,NCT01169259,PLACEBO_COMPARATOR,Vitamin D placebo + fish oil placebo,
332210331,NCT05963217,EXPERIMENTAL,Experimental: Dose Level 1 to 3,0.3 to 3 x 10\^6 autologous CD19-CAR-T cells/kg per patient will be administered intravenously after a conditioning chemotherapy with cyclophosphamide and fludarabine.
332210335,NCT05993299,EXPERIMENTAL,Letetresgene autoleucel,
332210336,NCT05644756,OTHER,Measurement Based Care Implementation,Four community mental health clinics located in Washington state will receive trainings on how to implement Measurement Based Care (MBC) in their clinics. We are creating implementation plans to improve therapists' use of measurement-based care.
332210338,NCT06020378,Other,Hydroxychloroquine treatment group,The Hydroxychloroquine treatment group was defined as having exposure to Hydroxychloroquine during pregnancy.
332210339,NCT06020378,Other,Hydroxychloroquine nontreatment group,The Hydroxychloroquine nontreatment group was defined as having no exposure to Hydroxychloroquine during pregnancy.
332210340,NCT04638439,EXPERIMENTAL,P1101 + Nivolumab + Entecavir,
332210349,NCT06839872,EXPERIMENTAL,Pirtobrutinib and Acalabrutinib,"Participants will receive dose A of pirtobrutinib starting Cycle 1 Day 1 for up to 24 cycles or until disease progression, unacceptable toxicity, death, or withdrawal of consent. If they progress on pirtobrutinib, a subset will receive dose B of acalabrutinib starting Cycle 1 Day 1 for up to 12 cycles or until disease progression, death, intolerance, unacceptable toxicity, or withdrawal of consent. Those benefiting from treatment will enter the Disease Follow-up period, continuing with pirtobrutinib or acalabrutinib until disease progression, unacceptable toxicity, death, or withdrawal of consent. After 36 months from starting pirtobrutinib, participants can continue receiving treatment off-trial if beneficial, in consultation with their physician."
332210351,NCT04663997,EXPERIMENTAL,177 Lu-PSMA-617,
332210352,NCT04663997,ACTIVE_COMPARATOR,Docetaxel,
332210366,NCT04238624,EXPERIMENTAL,BRAF-mutant ATC,Participants will have a diagnosis of BRAF-V600E mutant Anaplastic Thyroid Cancer
332210369,NCT06297642,EXPERIMENTAL,TQB2928 injection + Penpulimab,"TQB2928 injection combined with Penpulimab, 21 days as a treatment cycle."
332210386,NCT05981365,EXPERIMENTAL,Part A,"To evaluate the effect of multiple doses of voxelotor on the plasma pharmacokinetics (PK) of a single dose of bupropion, repaglinide, flurbiprofen, omeprazole, and midazolam"
332210387,NCT05981365,EXPERIMENTAL,Part B,"To evaluate the effect of multiple doses of voxelotor on the plasma PK of a single dose of metformin, furosemide, and rosuvastatin"
332210444,NCT00671645,EXPERIMENTAL,1,
332210470,NCT00401310,PLACEBO_COMPARATOR,1,Placebo
332210471,NCT00401310,EXPERIMENTAL,2,MK0724
332210488,NCT04909879,EXPERIMENTAL,COVI-MSC,"Subjects will receive intravenous infusions of COVI-MSC (two vials or a total of ≈ 30 million cells) on Day 0, Day 2, and Day 4"
332210489,NCT04909879,PLACEBO_COMPARATOR,Placebo,"Subjects will receive intravenous infusions of placebo (two vials) on Day 0, Day 2, and Day 4"
332210501,NCT00320801,ACTIVE_COMPARATOR,BTDS 5,"Buprenorphine transdermal patch 5 mcg/h, applied for 7-day wear"
332210502,NCT00320801,EXPERIMENTAL,BTDS 20,"Buprenorphine transdermal patch 20 mcg/h, applied for 7-day wear"
332210558,NCT00323362,EXPERIMENTAL,Gemcitabine hydrochloride and imatinib mesylate,
332210616,NCT05790200,EXPERIMENTAL,Cadonilimab (AK104) combined with chemotherapy,"Cadonilimab (200 mg, administered on the first day of each cycle, Q3W, until there is no clinical benefit)+platinum-based chemotherapy, Q3W, 4-6 cycles), every 3 weeks (21 days) is a treatment cycle"
332210701,NCT04535518,ACTIVE_COMPARATOR,the standard group,"1. IVIG 2 g/kg once, given within 12 to 24 hours;~2. Aspirin 30 mg/kg in oral per day (given in 3 divided doses), then 3 to 5 mg/kg per day when fever subsides for 72 hours and C-reactive protein (CRP) is normal. Aspirin will be continued for at least 6 weeks after onset of illness."
332210702,NCT04535518,EXPERIMENTAL,the standard + infliximab group,"1. IVIG 2 g/kg once, given within 12 to 24 hours;~2. Aspirin 30 mg/kg in oral per day (given in 3 divided doses), then 3 to 5 mg/kg per day when fever subsides for 72 hours and C-reactive protein (CRP) is normal. Aspirin will be continued for at least 6 weeks after onset of illness.~3. Intravenous infliximab at single dose of 5 mg/kg, given more than 2 hours."
332210918,NCT04479358,ACTIVE_COMPARATOR,"Sub-study A, Tocilizumab-Free Standard of Care",Patient assigned to Sub-study A by primary treating physicians. Patient enrolled on trial sub-study A and randomized to receive no tocilizumab.
332210919,NCT04479358,EXPERIMENTAL,"Sub-study A, Tocilizumab 40mg",Patient assigned to Sub-study A by primary treating physicians. Patient enrolled on trial sub-study A and randomized to receive tocilizumab 40mg.
332210920,NCT04479358,EXPERIMENTAL,"Sub-study A, Tocilizumab 120mg",Patient assigned to Sub-study A by primary treating physicians. Patient enrolled on trial sub-study A and randomized to receive tocilizumab 120mg.
332210921,NCT04479358,ACTIVE_COMPARATOR,"Sub-study B, Tocilizumab 400mg or 8mg/kg Standard of Care",Patient assigned to Sub-study B by primary treating physicians. Patient enrolled on trial sub-study B and randomized to receive standard of care tocilizumab dose (400mg or 8mgkg).
332210922,NCT04479358,EXPERIMENTAL,"Sub-study B, Tocilizumab 40mg",Patient assigned to Sub-study B by primary treating physicians. Patient enrolled on trial sub-study B and randomized to receive standard of care tocilizumab 40mg.
332210923,NCT04479358,EXPERIMENTAL,"Sub-study B, Tocilizumab 120mg",Patient assigned to Sub-study B by primary treating physicians. Patient enrolled on trial sub-study B and randomized to receive standard of care tocilizumab 120mg.
332210932,NCT05798611,EXPERIMENTAL,Arm 1 [ART0380 monotherapy (endometrial cancer patients)],Patients with persistent or recurrent endometrial cancer (EC) will receive ART0380 monotherapy in one of two dose regimens for a 21-day cycle.
332210933,NCT05798611,EXPERIMENTAL,Arm 2 [ART0380 monotherapy (solid tumors patients)],Patients with advanced or metastatic solid tumors will receive ART0380 monotherapy in one of two dose regimens for a 21-day cycle.
332210949,NCT06011577,EXPERIMENTAL,REL-1017 25 mg,"During the double blind treatment period (28 days), participants will take 1 tablet of REL-1017 25 mg, orally, per day in addition to their ongoing antidepressant (ADT)"
332210950,NCT06011577,PLACEBO_COMPARATOR,Placebo,"During the double blind treatment period (28 days), participants will take 1 tablet of placebo, orally, per day in addition to their ongoing antidepressant (ADT)"
332210983,NCT05493683,EXPERIMENTAL,Combination of Disitamab Vedotin and Tislelizumab,"Disitamab Vedotin 2.0mg/kg q2w+Tislelizumab 400mg q6w. The treatment of Disitamab Vedotin + Tislelizumab will continue until the tumor progression confirmed by imaging, or up to 2 years, or intolerable toxic reactions, or other conditions determined by the researchers."
332211120,NCT04895046,EXPERIMENTAL,Investigational Group,Cycle 1-4 (cycle length 4 weeks): Niraparib 300 mg taken orally on days 1-21 and Dostarlimab 500 mg intravenously on day 1~Cycle 5 and above (cycle length 3 weeks): Niraparib 300 mg taken orally on days 1-21 and 1000 mg intravenously on day 1 of every other cycle
332211148,NCT00470249,EXPERIMENTAL,Patients with (HER-2)-negative and anthracycline- and taxane-resistant,Patients with human epidermal growth factor 2 (HER-2)-negative locally advanced or metastatic breast cancer that was anthracycline- and taxane-resistant
332211211,NCT04465916,EXPERIMENTAL,Experimental Arm,Experimental Arm: EYP001a Dose A QD + NA daily (37 patients)
332211212,NCT04465916,PLACEBO_COMPARATOR,Control Arm,Control Arm: Placebo + NA daily (12 patients)
332211243,NCT00265863,EXPERIMENTAL,Patients with Malignant Ascites,Patients meeting protocol criteria enrolled with malignant ascites.
332211262,NCT01408056,EXPERIMENTAL,Timolol 0.5% Gel Forming Solution (GFS),Half of enrolled subjects will receive topical Timolol
332211263,NCT01408056,ACTIVE_COMPARATOR,Mupirocin 2% ointment,Half of enrolled subjects will receive Mupirocin
332211420,NCT00544778,EXPERIMENTAL,Arm 1,High-dose chemotherapy with doxorubicin at 120 mg/m2 and ifosfamide at 2 g/m2 followed by a prolonged schedule of CPT-11 at 20 mg/m2.
332211444,NCT05005468,EXPERIMENTAL,Camrelizumab Combined With Famitinib,Drug: Camrelizumab Drug: Famitinib
332211445,NCT05005468,NO_INTERVENTION,Observation,Observation
332211462,NCT03112720,ACTIVE_COMPARATOR,Epidural blood patch,20ml of sterile blood is obtained from the patients arm and placed in the epidural space using standard sterile epidural access.
332211463,NCT03112720,EXPERIMENTAL,Sphenopalatine Ganglion Block,Cotton tip applicators are used to deliver lidocaine to the posterior nares in the area of skin overlying the Sphenopalatine gangion
332211580,NCT00517868,OTHER,Crossover,Placebo Treatment on Visit 1 followed by URG101 Treatment on Visit 2
